BoxNumber,Barcode,BoxRow,BoxColumn,dateAdded,PlateNumber,PCRPlateLayout,AliquotePlateNumber,AliquotePlatePosition
IM-23-042-01,IM-23-042-RHGX,1,1,3/3/2023,,,,
IM-23-042-02,IM-23-042-ZDUC,1,1,3/14/2023,,,,
IM-23-044-02,IM-23-044-IJVW,1,1,4/5/2023,,,,
IM-23-044-04,IM-23-044-OJIB,1,1,10/10/2023,,,,
IM-23-044-01,IM-23-044-XAHM,1,1,2/28/2023,,,,
IM-23-044-03,IM-23-044-ZAAN,1,1,10/10/2023,,,,
IM-23-045-02,IM-23-045-CHGU,1,1,3/2/2023,,,,
IM-23-045-01,IM-23-045-JGRF,1,1,3/2/2023,,,,
IM-23-045-03,IM-23-045-UHDP,1,1,10/10/2023,,,,
IM-23-045-04,IM-23-045-UHGC,1,1,10/11/2023,,,,
IM-23-046-04,IM-23-046-APQV,1,1,10/2/2023,,,,
IM-23-046-03,IM-23-046-ISJJ,1,1,9/29/2023,,,,
IM-23-046-01,IM-23-046-JVLB,1,1,3/2/2023,,,,
IM-23-046-02,IM-23-046-NLMT,1,1,3/2/2023,,,,
IM-23-047-03,IM-23-047-KLPK,1,1,8/25/2023,,,,
IM-23-047-04,IM-23-047-XPVH,1,1,8/25/2023,,,,
IM-23-054-02,IM-23-054-KQIW,1,1,2/27/2023,,,,
IM-23-054-03,IM-23-054-PRFM,1,1,10/2/2023,,,,
IM-23-054-04,IM-23-054-PRKD,1,1,10/2/2023,,,,
IM-23-054-01,IM-23-054-UIDP,1,1,8/2/2023,,,,
IM-23-056-03,IM-23-056-APDN,1,1,8/31/2023,,,,
IM-23-056-04,IM-23-056-LKTW,1,1,11/8/2023,,,,
IM-23-056-01,IM-23-056-WGKS,1,1,9/2/2023,,,,
IM-23-060-03,IM-23-060-TAAD,1,1,8/29/2023,,,,
IM-23-060-01,IM-23-060-TSVC,1,1,4/5/2023,,,,
IM-23-060-04,IM-23-060-YFPS,1,1,9/5/2023,,,,
IM-23-063-03,IM-23-063-DSRA,1,1,11/10/2023,,,,
IM-23-063-04,IM-23-063-JYFO,1,1,11/10/2023,,,,
IM-23-063-02,IM-23-063-QVMV,1,1,3/6/2023,,,,
IM-23-063-01,IM-23-063-TDLJ,1,1,3/6/2023,,,,
IM-23-064-03,IM-23-064-JOWQ,1,1,9/11/2023,,,,
IM-23-064-01,IM-23-064-KGSV,1,1,3/1/2023,,,,
IM-23-064-04,IM-23-064-MWHY,1,1,9/11/2023,,,,
IM-23-071-03,IM-23-071-CPBS,1,1,11/8/2023,,,,
IM-23-071-04,IM-23-071-FIRH,1,1,11/8/2023,,,,
IM-23-089-03,IM-23-089-CDXV,1,1,8/28/2023,,,,
IM-23-089-04,IM-23-089-DJWL,1,1,10/16/2023,,,,
IM-23-089-01,IM-23-089-DPQN,1,1,1/21/2023,,,,
IM-23-089-02,IM-23-089-JTNN,1,2,1/23/2023,,,,
IM-23-090-03,IM-23-090-FAPQ,1,1,,,,,
IM-23-090-02,IM-23-090-GQGL,1,1,9/2/2023,,,,
IM-23-090-01,IM-23-090-LBNG,1,1,1/17/2023,,,,
IM-23-090-04,IM-23-090-VGVW,1,1,8/29/2023,,,,
IM-23-093-01,IM-23-093-CQSY,1,1,1/18/2023,,,,
IM-23-093-02,IM-23-093-QGBQ,1,2,1/30/2023,,,,
IM-23-096-04,IM-23-096-BSOH,1,1,10/16/2023,,,,
IM-23-096-03,IM-23-096-QQWF,1,1,10/16/2023,,,,
IM-23-096-01,IM-23-096-QVJH,1,1,1/19/2023,,,,
IM-23-096-02,IM-23-096-TUKB,1,1,1/26/2023,,,,
IM-23-110-04,IM-23-110-FYUE,1,1,8/28/2023,,,,
IM-23-110-01,IM-23-110-TNIY,1,1,1/27/2023,,,,
IM-23-110-03,IM-23-110-VTYC,1,1,8/28/2023,,,,
IM-23-112-03,IM-23-112-YDKC,1,1,8/31/2023,,,,
IM-23-112-04,IM-23-112-YLUJ,1,1,9/18/2023,,,,
IM-23-115-04,IM-23-115-JJNM,1,1,9/4/2023,,,,
IM-23-115-03,IM-23-115-KCOX,1,1,9/4/2023,,,,
IM-23-115-01,IM-23-115-KZQG,1,1,3/3/2023,,,,
IM-23-115-02,IM-23-115-SZAX,1,1,2/22/2023,,,,
IM-23-120-01,IM-23-120-LZFX,1,1,2/22/2023,,,,
IM-23-120-02,IM-23-120-VQJX,1,1,11/16/2023,,,,
IM-23-121-02,IM-23-121-QJGF,1,1,10/24/2023,,,,
IM-23-121-01,IM-23-121-ROJA,1,1,2/23/2023,,,,
IM-24-122-01,IM-23-122-HMID,1,1,2/26/2024,,,,
IM-23-122-01,IM-23-122-VBKQ,1,1,10/2/2023,,,,
IM-23-123-02,IM-23-123-FHDU,1,1,9/2/2023,,,,
IM-23-123-01,IM-23-123-FLLO,1,1,1/19/2023,,,,
IM-24-011-02,IM-24-011-KYIK,1,1,5/3/2024,,,,
IM-24-011-01,IM-24-011-UCBS,1,1,5/3/2024,,,,
IM-24-016-01,IM-24-016-BYZB,1,1,3/13/2024,,,,
IM-24-016-02,IM-24-016-LPJR,1,1,5/7/2024,,,,
IM-24-017-01,IM-24-017-BSGX,1,1,5/7/2024,,,,
IM-24-019-02,IM-24-019-LVQN,1,1,5/2/2024,,,,
IM-24-019-01,IM-24-019-PDYA,1,1,4/9/2024,,,,
IM-24-030-01,IM-24-030-GPOL,1,1,5/2/2024,,,,
IM-24-030-02,IM-24-030-RZXM,1,1,5/6/2024,,,,
IM-24-034-02,IM-24-034-GODB,1,1,5/7/2024,,,,
IM-24-034-01,IM-24-034-LDOF,1,1,4/8/2024,,,,
IM-24-036-01,IM-24-036-DRNC,1,1,4/8/2024,,,,
IM-24-036-02,IM-24-036-OUWN,1,1,5/2/2024,,,,
IM-24-040-01,IM-24-040-GCIQ,1,1,5/29/2024,,,,
IM-24-040-02,IM-24-040-OCIY,1,1,5/29/2024,,,,
IM-24-041-02,IM-24-041-BAKR,1,1,4/30/2024,,,,
IM-24-041-01,IM-24-041-WUBI,1,1,4/30/2024,,,,
IM-24-042-02,IM-24-042-DJXL,1,1,4/29/2024,,,,
IM-24-042-01,IM-24-042-TNMO,1,1,4/29/2024,,,,
IM-24-044-01,IM-24-044-AALC,1,1,5/6/2024,,,,
IM-24-045-01,IM-24-045-DARM,1,1,5/6/2024,,,,
IM-24-045-02,IM-24-045-LNWF,1,1,5/6/2024,,,,
IM-24-046-01,IM-24-046-IQRH,1,1,5/2/2024,,,,
IM-24-046-02,IM-24-046-PVZJ,1,1,5/30/2024,,,,
IM-24-047-01,IM-24-047-AMWK,1,1,4/8/2024,,,,
IM-24-054-02,IM-24-054-CMPG,1,1,5/6/2024,,,,
IM-24-054-01,IM-24-054-NJQJ,1,1,4/9/2024,,,,
IM-24-056-01,IM-24-056-AFXT,1,1,4/9/2024,,,,
IM-24-060-01,IM-24-060-AULT,1,1,4/5/2024,,,,
IM-24-064-01,IM-24-064-CBPI,1,1,4/9/2024,,,,
IM-24-071-01,IM-24-071-GDRN,1,1,5/7/2024,,,,
IM-24-071-02,IM-24-071-NJXF,1,1,6/14/2024,,,,
IM-24-087-01,IM-24-087-AXTL,1,1,4/9/2024,,,,
IM-24-087-02,IM-24-087-UFKW,1,1,4/9/2024,,,,
IM-24-089-01,IM-24-089-FSVR,1,1,3/13/2024,,,,
IM-24-089-02,IM-24-089-PPQX,1,1,3/13/2024,,,,
IM-24-090-01,IM-24-090-DZNB,1,1,3/13/2024,,,,
IM-24-090-02,IM-24-090-NVVH,1,1,4/8/2024,,,,
IM-24-096-01,IM-24-096-BTKO,1,1,4/8/2024,,,,
IM-24-096-02,IM-24-096-OQJI,1,1,5/6/2024,,,,
IM-24-110-01,IM-24-110-KHLH,1,1,4/5/2024,,,,
IM-24-110-02,IM-24-110-SOMZ,1,1,5/2/2024,,,,
IM-24-112-01,IM-24-112-MNRC,1,1,4/5/2024,,,,
IM-24-112-02,IM-24-112-PRQB,1,1,4/8/2024,,,,
IM-24-115-01,IM-24-115-DMOJ,1,1,5/2/2024,,,,
IM-24-115-02,IM-24-115-MDNH,1,1,5/7/2024,,,,
IM-24-120-01,IM-24-120-CQCX,1,1,6/10/2024,,,,
IM-24-121-01,IM-24-121-BLFU,1,1,5/7/2024,,,,
IM-23-017-02,IM-22-017-BVAS,2,1,1/15/2023,,,,
IM-23-011-03,IM-23-011-LBJY,2,1,10/25/2023,,,,
IM-23-011-02,IM-23-011-NNHM,2,1,2/25/2023,,,,
IM-23-011-04,IM-23-011-ONOZ,2,1,10/25/2023,,,,
IM-23-011-01,IM-23-011-QBDI,2,1,2/10/2023,,,,
IM-23-015-01,IM-23-015-AUAJ,2,1,1/24/2023,,,,
IM-23-015-02,IM-23-015-RFVH,2,1,1/21/2023,,,,
IM-23-016-04,IM-23-016-HRSD,2,1,10/23/2023,,,,
IM-23-016-03,IM-23-016-JPTL,2,1,10/23/2023,,,,
IM-23-016-02,IM-23-016-OHII,2,1,3/23/2023,,,,
IM-23-016-01,IM-23-016-WNKD,2,1,7/2/2023,,,,
IM-23-017-03,IM-23-017-AXVK,2,1,8/31/2023,,,,
IM-23-017-04,IM-23-017-PNOT,2,1,10/23/2023,,,,
IM-23-017-01,IM-23-017-RUNO,2,1,2/14/2023,,,,
IM-23-019-03,IM-23-019-BYKI,2,1,9/5/2023,,,,
IM-23-019-02,IM-23-019-FPRQ,2,1,4/5/2023,,,,
IM-23-019-01,IM-23-019-LXMX,2,1,2/14/2023,,,,
IM-23-019-04,IM-23-019-WRMD,2,1,10/23/2023,,,,
IM-23-030-03,IM-23-030-GIUC,2,1,9/5/2023,,,,
IM-23-030-01,IM-23-030-VLQU,2,1,2/25/2023,,,,
IM-23-030-04,IM-23-030-VMBW,2,1,9/19/2023,,,,
IM-23-034-03,IM-23-034-AQNF,2,1,8/31/2023,,,,
IM-23-034-04,IM-23-034-BYCB,2,1,9/18/2023,,,,
IM-23-034-02,IM-23-034-HXMF,2,1,3/3/2023,,,,
IM-23-034-01,IM-23-034-ZYLW,2,1,2/14/2023,,,,
IM-23-035-01,IM-23-035-NQJH,2,1,2/22/2023,,,,
IM-23-035-02,IM-23-035-WTZD,2,1,3/15/2023,,,,
IM-23-036-04,IM-23-036-APIZ,2,1,10/2/2023,,,,
IM-23-036-03,IM-23-036-NIQS,2,1,8/30/2023,,,,
IM-23-036-01,IM-23-036-PYLO,2,1,3/7/2023,,,,
IM-23-036-02,IM-23-036-VOUR,2,1,3/3/2023,,,,
IM-23-040-03,IM-23-040-RATC,2,1,9/18/2023,,,,
IM-23-040-04,IM-23-040-UXZS,2,1,9/18/2023,,,,
IM-23-041-04,IM-23-041-LAXF,2,1,10/17/2023,,,,
IM-23-041-01,IM-23-041-NQPJ,2,1,2/28/2023,,,,
IM-23-041-03,IM-23-041-PRCN,2,1,10/17/2023,,,,
IM-23-041-02,IM-23-041-XSCG,2,1,3/14/2023,,,,
IM-23-042-04,IM-23-042-QYDO,2,1,11/6/2023,,,,
IM-23-042-01,IM-23-042-TOVW,2,1,3/3/2023,,,,
IM-23-042-03,IM-23-042-TPVR,2,1,11/6/2023,,,,
IM-23-042-02,IM-23-042-VRLB,2,1,3/14/2023,,,,
IM-23-044-01,IM-23-044-JWIP,2,1,2/28/2023,,,,
IM-23-044-03,IM-23-044-TAQO,2,1,10/10/2023,,,,
IM-23-044-04,IM-23-044-ZABB,2,1,10/10/2023,,,,
IM-23-044-02,IM-23-044-ZIRV,2,1,4/5/2023,,,,
IM-23-045-04,IM-23-045-AFUB,2,1,10/11/2023,,,,
IM-23-045-03,IM-23-045-IJRW,2,1,10/10/2023,,,,
IM-23-045-02,IM-23-045-RPPO,2,1,3/2/2023,,,,
IM-23-045-01,IM-23-045-ZCSL,2,1,3/2/2023,,,,
IM-23-046-02,IM-23-046-CFZD,2,1,3/2/2023,,,,
IM-23-046-03,IM-23-046-JKOA,2,1,9/29/2023,,,,
IM-23-046-01,IM-23-046-QCXJ,2,1,3/2/2023,,,,
IM-23-046-04,IM-23-046-UZTM,2,1,10/2/2023,,,,
IM-23-047-03,IM-23-047-HAIX,2,1,8/25/2023,,,,
IM-23-047-04,IM-23-047-UDBL,2,1,8/25/2023,,,,
IM-23-054-01,IM-23-054-JTIY,2,1,8/2/2023,,,,
IM-23-054-02,IM-23-054-UICG,2,1,2/27/2023,,,,
IM-23-054-03,IM-23-054-WKJG,2,1,10/2/2023,,,,
IM-23-054-04,IM-23-054-XVIL,2,1,10/2/2023,,,,
IM-23-056-03,IM-23-056-FPTZ,2,1,8/31/2023,,,,
IM-23-056-01,IM-23-056-GABF,2,1,9/2/2023,,,,
IM-23-056-04,IM-23-056-WUPO,2,1,11/8/2023,,,,
IM-23-060-04,IM-23-060-TFSC,2,1,9/5/2023,,,,
IM-23-060-03,IM-23-060-YGZB,2,1,8/29/2023,,,,
IM-23-060-01,IM-23-060-YPZI,2,1,4/5/2023,,,,
IM-23-063-04,IM-23-063-BQZP,2,1,11/10/2023,,,,
IM-23-063-03,IM-23-063-DYUL,2,1,11/10/2023,,,,
IM-23-063-01,IM-23-063-RLRQ,2,1,3/6/2023,,,,
IM-23-063-02,IM-23-063-VOWJ,2,1,3/6/2023,,,,
IM-23-064-04,IM-23-064-FHSF,2,1,9/11/2023,,,,
IM-23-064-01,IM-23-064-IVIH,2,1,3/1/2023,,,,
IM-23-064-03,IM-23-064-UFCI,2,1,9/11/2023,,,,
IM-23-071-03,IM-23-071-AUUU,2,1,11/8/2023,,,,
IM-23-071-04,IM-23-071-GIMT,2,1,11/8/2023,,,,
IM-23-089-01,IM-23-089-BRLH,2,1,1/21/2023,,,,
IM-23-089-04,IM-23-089-FIFW,2,1,10/16/2023,,,,
IM-23-089-02,IM-23-089-HFSI,2,2,1/23/2023,,,,
IM-23-089-03,IM-23-089-PSJW,2,1,8/28/2023,,,,
IM-23-090-04,IM-23-090-AIMJ,2,1,8/29/2023,,,,
IM-23-090-01,IM-23-090-TNDW,2,1,1/17/2023,,,,
IM-23-090-03,IM-23-090-WSAO,2,1,,,,,
IM-23-090-02,IM-23-090-XAMB,2,1,9/2/2023,,,,
IM-23-093-01,IM-23-093-ONLF,2,1,1/18/2023,,,,
IM-23-093-02,IM-23-093-ONLM,2,2,1/30/2023,,,,
IM-23-096-03,IM-23-096-GRHG,2,1,10/16/2023,,,,
IM-23-096-02,IM-23-096-PDOY,2,1,1/26/2023,,,,
IM-23-096-04,IM-23-096-RNQW,2,1,10/16/2023,,,,
IM-23-096-01,IM-23-096-TNLH,2,1,1/19/2023,,,,
IM-23-110-03,IM-23-110-HYLM,2,1,8/28/2023,,,,
IM-23-110-01,IM-23-110-TKVV,2,1,1/27/2023,,,,
IM-23-110-04,IM-23-110-UYVH,2,1,8/28/2023,,,,
IM-23-112-04,IM-23-112-OBCQ,2,1,9/18/2023,,,,
IM-23-112-03,IM-23-112-ZJOD,2,1,8/31/2023,,,,
IM-23-115-01,IM-23-115-DVDJ,2,1,3/3/2023,,,,
IM-23-115-03,IM-23-115-IAOU,2,1,9/4/2023,,,,
IM-23-115-04,IM-23-115-NYUN,2,1,9/4/2023,,,,
IM-23-115-02,IM-23-115-YBBF,2,1,2/22/2023,,,,
IM-23-120-02,IM-23-120-IBNC,2,1,12/14/2023,,,,
IM-23-120-01,IM-23-120-YMIM,2,1,2/22/2023,,,,
IM-23-121-01,IM-23-121-KFZC,2,1,2/23/2023,,,,
IM-23-121-02,IM-23-121-VXCP,2,1,10/24/2023,,,,
IM-23-122-01,IM-23-122-BBQQ,2,1,10/2/2023,,,,
IM-24-122-01,IM-23-122-VYRP,2,1,2/26/2024,,,,
IM-23-123-02,IM-23-123-BGBX,2,1,9/2/2023,,,,
IM-23-123-01,IM-23-123-OOYD,2,1,1/19/2023,,,,
IM-24-011-02,IM-24-011-KTFH,2,1,5/3/2024,,,,
IM-24-011-01,IM-24-011-TWAS,2,1,5/3/2024,,,,
IM-24-016-01,IM-24-016-CCAL,2,1,3/13/2024,,,,
IM-24-016-02,IM-24-016-KOZF,2,1,5/7/2024,,,,
IM-24-017-01,IM-24-017-BSZJ,2,1,5/7/2024,,,,
IM-24-019-02,IM-24-019-LVDJ,2,1,5/2/2024,,,,
IM-24-019-01,IM-24-019-NKIH,2,1,4/9/2024,,,,
IM-24-030-01,IM-24-030-HKNS,2,1,5/2/2024,,,,
IM-24-030-02,IM-24-030-SFIT,2,1,5/6/2024,,,,
IM-24-034-02,IM-24-034-HKXL,2,1,5/7/2024,,,,
IM-24-034-01,IM-24-034-LZLZ,2,1,4/8/2024,,,,
IM-24-036-01,IM-24-036-DBDS,2,1,4/8/2024,,,,
IM-24-036-02,IM-24-036-NAQW,2,1,5/2/2024,,,,
IM-24-040-01,IM-24-040-GGHB,2,1,5/29/2024,,,,
IM-24-040-02,IM-24-040-ODRO,2,1,5/29/2024,,,,
IM-24-041-02,IM-24-041-BCPB,2,1,4/30/2024,,,,
IM-24-041-01,IM-24-041-WVBU,2,1,4/30/2024,,,,
IM-24-042-02,IM-24-042-FJZP,2,1,4/29/2024,,,,
IM-24-042-01,IM-24-042-TKFF,2,1,4/29/2024,,,,
IM-24-044-01,IM-24-044-AIMC,2,1,5/6/2024,,,,
IM-24-045-01,IM-24-045-DLOD,2,1,5/6/2024,,,,
IM-24-045-02,IM-24-045-LIYQ,2,1,5/6/2024,,,,
IM-24-046-01,IM-24-046-IHNR,2,1,5/2/2024,,,,
IM-24-046-02,IM-24-046-QCBG,2,1,5/30/2024,,,,
IM-24-047-01,IM-24-047-BFVI,2,1,4/8/2024,,,,
IM-24-054-02,IM-24-054-AFGX,2,1,5/6/2024,,,,
IM-24-054-01,IM-24-054-NLSP,2,1,4/9/2024,,,,
IM-24-056-01,IM-24-056-ACFK,2,1,4/9/2024,,,,
IM-24-060-01,IM-24-060-BBVW,2,1,4/5/2024,,,,
IM-24-064-01,IM-24-064-BZWQ,2,1,4/9/2024,,,,
IM-24-071-01,IM-24-071-COQD,2,1,5/7/2024,,,,
IM-24-071-02,IM-24-071-MRBY,2,1,6/14/2024,,,,
IM-24-087-01,IM-24-087-BAHO,2,1,4/9/2024,,,,
IM-24-087-02,IM-24-087-ULAF,2,1,4/9/2024,,,,
IM-24-089-01,IM-24-089-CDPM,2,1,3/13/2024,,,,
IM-24-089-02,IM-24-089-PXFD,2,1,3/13/2024,,,,
IM-24-090-01,IM-24-090-DTZB,2,1,3/13/2024,,,,
IM-24-090-02,IM-24-090-NVMR,2,1,4/8/2024,,,,
IM-24-096-01,IM-24-096-BGTL,2,1,4/8/2024,,,,
IM-24-096-02,IM-24-096-MHSH,2,1,5/6/2024,,,,
IM-24-110-01,IM-24-110-JYOY,2,1,4/5/2024,,,,
IM-24-110-02,IM-24-110-TPDW,2,1,5/2/2024,,,,
IM-24-112-01,IM-24-112-MMWX,2,1,4/5/2024,,,,
IM-24-112-02,IM-24-112-PTCG,2,1,4/8/2024,,,,
IM-24-115-01,IM-24-115-DLTP,2,1,5/2/2024,,,,
IM-24-115-02,IM-24-115-LRMJ,2,1,5/7/2024,,,,
IM-24-120-01,IM-24-120-COPY,2,1,6/10/2024,,,,
IM-24-121-01,IM-24-121-ARBX,2,1,5/7/2024,,,,
IM-23-011-01,IM-23-011-CPBF,3,1,2/10/2023,,,,
IM-23-011-02,IM-23-011-JCRA,3,1,2/25/2023,,,,
IM-23-011-04,IM-23-011-JDOL,3,1,10/25/2023,,,,
IM-23-011-03,IM-23-011-JSUK,3,1,10/25/2023,,,,
IM-23-015-02,IM-23-015-TTOW,3,1,1/21/2023,,,,
IM-23-015-01,IM-23-015-YWKO,3,1,1/24/2023,,,,
IM-23-016-04,IM-23-016-AXTA,3,1,10/23/2023,,,,
IM-23-016-03,IM-23-016-DDQH,3,1,10/23/2023,,,,
IM-23-016-01,IM-23-016-KYJR,3,1,7/2/2023,,,,
IM-23-016-02,IM-23-016-ZDCI,3,1,3/23/2023,,,,
IM-23-017-02,IM-23-017-FAWQ,3,1,2/20/2023,,,,
IM-23-017-03,IM-23-017-JOAA,3,1,8/31/2023,,,,
IM-23-017-01,IM-23-017-MZIS,3,1,2/14/2023,,,,
IM-23-017-04,IM-23-017-WHMB,3,1,10/23/2023,,,,
IM-23-019-04,IM-23-019-BSQH,3,1,10/23/2023,,,,
IM-23-019-01,IM-23-019-DDQO,3,1,2/14/2023,,,,
IM-23-019-02,IM-23-019-XYAF,3,1,4/5/2023,,,,
IM-23-019-03,IM-23-019-YSAP,3,1,9/5/2023,,,,
IM-23-030-03,IM-23-030-AZJR,3,1,9/5/2023,,,,
IM-23-030-04,IM-23-030-UGGC,3,1,9/19/2023,,,,
IM-23-030-01,IM-23-030-UOSU,3,1,2/25/2023,,,,
IM-23-034-01,IM-23-034-JAJW,3,1,2/14/2023,,,,
IM-23-034-02,IM-23-034-JKZT,3,1,3/3/2023,,,,
IM-23-034-04,IM-23-034-LMPB,3,1,9/18/2023,,,,
IM-23-034-03,IM-23-034-OZOC,3,1,8/31/2023,,,,
IM-23-035-02,IM-23-035-ITBC,3,1,3/15/2023,,,,
IM-23-035-01,IM-23-035-VUGQ,3,1,2/22/2023,,,,
IM-23-036-04,IM-23-036-DPBB,3,1,10/2/2023,,,,
IM-23-036-03,IM-23-036-ICTA,3,1,8/30/2023,,,,
IM-23-036-01,IM-23-036-JYCD,3,1,3/7/2023,,,,
IM-23-036-02,IM-23-036-NLFF,3,1,3/3/2023,,,,
IM-23-040-03,IM-23-040-SAXA,3,1,9/18/2023,,,,
IM-23-040-04,IM-23-040-YFJM,3,1,9/18/2023,,,,
IM-23-041-01,IM-23-041-FVOH,3,1,2/28/2023,,,,
IM-23-041-03,IM-23-041-TQLZ,3,1,10/17/2023,,,,
IM-23-041-04,IM-23-041-TSIN,3,1,10/17/2023,,,,
IM-23-041-02,IM-23-041-UIHP,3,1,3/14/2023,,,,
IM-23-042-04,IM-23-042-DBAP,3,1,11/6/2023,,,,
IM-23-042-01,IM-23-042-GFWX,3,1,3/3/2023,,,,
IM-23-042-02,IM-23-042-QXCB,3,1,3/14/2023,,,,
IM-23-042-03,IM-23-042-YXUD,3,1,11/6/2023,,,,
IM-23-044-04,IM-23-044-AVJQ,3,1,10/10/2023,,,,
IM-23-044-03,IM-23-044-FCMM,3,1,10/10/2023,,,,
IM-23-044-01,IM-23-044-QUKQ,3,1,2/28/2023,,,,
IM-23-044-02,IM-23-044-YZOQ,3,1,4/5/2023,,,,
IM-23-045-04,IM-23-045-CFNN,3,1,10/11/2023,,,,
IM-23-045-02,IM-23-045-DJWA,3,1,3/2/2023,,,,
IM-23-045-01,IM-23-045-NBJW,3,1,3/2/2023,,,,
IM-23-045-03,IM-23-045-SJGF,3,1,10/10/2023,,,,
IM-23-046-04,IM-23-046-BDCB,3,1,10/2/2023,,,,
IM-23-046-03,IM-23-046-CSXB,3,1,9/29/2023,,,,
IM-23-046-01,IM-23-046-OSHI,3,1,3/2/2023,,,,
IM-23-046-02,IM-23-046-WOJA,3,1,3/2/2023,,,,
IM-23-047-04,IM-23-047-BFKZ,3,1,8/25/2023,,,,
IM-23-047-03,IM-23-047-CYZC,3,1,8/25/2023,,,,
IM-23-054-01,IM-23-054-BVUG,3,1,8/2/2023,,,,
IM-23-054-03,IM-23-054-DQIL,3,1,10/2/2023,,,,
IM-23-054-02,IM-23-054-NZGU,3,1,2/27/2023,,,,
IM-23-054-04,IM-23-054-OGIM,3,1,10/2/2023,,,,
IM-23-056-03,IM-23-056-HNMC,3,1,8/31/2023,,,,
IM-23-056-04,IM-23-056-HRAR,3,1,11/8/2023,,,,
IM-23-056-01,IM-23-056-PFUX,3,1,9/2/2023,,,,
IM-23-060-01,IM-23-060-XFCA,3,1,4/5/2023,,,,
IM-23-060-03,IM-23-060-XZFD,3,1,8/29/2023,,,,
IM-23-060-04,IM-23-060-YBDS,3,1,9/5/2023,,,,
IM-23-063-04,IM-23-063-DHAQ,3,1,11/10/2023,,,,
IM-23-063-03,IM-23-063-FLIS,3,1,11/10/2023,,,,
IM-23-063-02,IM-23-063-MLKB,3,1,3/6/2023,,,,
IM-23-063-01,IM-23-063-QLMC,3,1,3/6/2023,,,,
IM-23-064-04,IM-23-064-AMZY,3,1,9/11/2023,,,,
IM-23-064-03,IM-23-064-QFCL,3,1,9/11/2023,,,,
IM-23-064-01,IM-23-064-VKTB,3,1,3/1/2023,,,,
IM-23-071-04,IM-23-071-FVDY,3,1,11/8/2023,,,,
IM-23-071-03,IM-23-071-FYAT,3,1,11/8/2023,,,,
IM-23-089-04,IM-23-089-CNXB,3,1,10/16/2023,,,,
IM-23-089-01,IM-23-089-LMFA,3,1,1/21/2023,,,,
IM-23-089-03,IM-23-089-UUXB,3,1,8/28/2023,,,,
IM-23-089-02,IM-23-089-YYBS,3,2,1/23/2023,,,,
