Barcode,BoxNumber,BoxRow,BoxColumn,dateAdded,Round
IM-23-096-TUKB,IM-23-096-02,1,1,1/26/2023,1
IM-23-110-FYUE,IM-23-110-04,1,1,8/28/2023,2
IM-23-110-TNIY,IM-23-110-01,1,1,1/27/2023,1
IM-23-110-VTYC,IM-23-110-03,1,1,8/28/2023,2
IM-23-112-YDKC,IM-23-112-03,1,1,8/31/2023,2
IM-23-112-YLUJ,IM-23-112-04,1,1,9/18/2023,2
IM-23-115-JJNM,IM-23-115-04,1,1,09/04/2023,2
IM-23-115-KCOX,IM-23-115-03,1,1,09/04/2023,2
IM-23-115-KZQG,IM-23-115-01,1,1,03/03/2023,1
IM-23-115-SZAX,IM-23-115-02,1,1,2/22/2023,1
IM-23-120-LZFX,IM-23-120-01,1,1,2/22/2023,1
IM-23-120-VQJX,IM-23-120-02,1,1,11/16/2023,1
IM-23-121-QJGF,IM-23-121-02,1,1,10/24/2023,1
IM-23-121-ROJA,IM-23-121-01,1,1,2/23/2023,1
IM-23-122-HMID,IM-24-122-01,1,1,2/26/2024,3
IM-23-122-VBKQ,IM-23-122-01,1,1,10/02/2023,1
IM-23-123-FHDU,IM-23-123-02,1,1,09/02/2023,1
IM-23-123-FLLO,IM-23-123-01,1,1,1/19/2023,1
IM-24-011-KYIK,IM-24-011-02,1,1,05/03/2024,3
IM-24-011-UCBS,IM-24-011-01,1,1,05/03/2024,3
IM-24-016-BYZB,IM-24-016-01,1,1,3/13/2024,3
IM-24-016-LPJR,IM-24-016-02,1,1,05/07/2024,3
IM-24-017-BSGX,IM-24-017-01,1,1,05/07/2024,3
IM-24-019-LVQN,IM-24-019-02,1,1,05/02/2024,3
IM-24-019-PDYA,IM-24-019-01,1,1,04/09/2024,3
IM-24-030-GPOL,IM-24-030-01,1,1,05/02/2024,3
IM-24-030-RZXM,IM-24-030-02,1,1,05/06/2024,3
IM-24-034-GODB,IM-24-034-02,1,1,05/07/2024,3
IM-24-034-LDOF,IM-24-034-01,1,1,04/08/2024,3
IM-24-036-DRNC,IM-24-036-01,1,1,04/08/2024,3
IM-24-036-OUWN,IM-24-036-02,1,1,05/02/2024,3
IM-24-040-GCIQ,IM-24-040-01,1,1,5/29/2024,3
IM-24-040-OCIY,IM-24-040-02,1,1,5/29/2024,3
IM-24-041-BAKR,IM-24-041-02,1,1,4/30/2024,3
IM-24-041-WUBI,IM-24-041-01,1,1,4/30/2024,3
IM-24-042-DJXL,IM-24-042-02,1,1,4/29/2024,3
IM-24-042-TNMO,IM-24-042-01,1,1,4/29/2024,3
IM-24-044-AALC,IM-24-044-01,1,1,05/06/2024,3
IM-24-045-DARM,IM-24-045-01,1,1,05/06/2024,3
IM-24-045-LNWF,IM-24-045-02,1,1,05/06/2024,3
IM-24-046-IQRH,IM-24-046-01,1,1,05/02/2024,3
IM-24-046-PVZJ,IM-24-046-02,1,1,5/30/2024,3
IM-24-047-AMWK,IM-24-047-01,1,1,04/08/2024,3
IM-24-054-CMPG,IM-24-054-02,1,1,05/06/2024,3
IM-24-054-NJQJ,IM-24-054-01,1,1,04/09/2024,3
IM-24-056-AFXT,IM-24-056-01,1,1,04/09/2024,3
IM-24-060-AULT,IM-24-060-01,1,1,04/05/2024,3
IM-24-064-CBPI,IM-24-064-01,1,1,04/09/2024,3
IM-24-071-GDRN,IM-24-071-01,1,1,05/07/2024,3
IM-24-071-NJXF,IM-24-071-02,1,1,6/14/2024,3
IM-24-087-AXTL,IM-24-087-01,1,1,04/09/2024,3
IM-24-087-UFKW,IM-24-087-02,1,1,04/09/2024,3
IM-24-089-FSVR,IM-24-089-01,1,1,3/13/2024,3
IM-24-089-PPQX,IM-24-089-02,1,1,3/13/2024,3
IM-24-090-DZNB,IM-24-090-01,1,1,3/13/2024,3
IM-24-090-NVVH,IM-24-090-02,1,1,04/08/2024,3
IM-24-096-BTKO,IM-24-096-01,1,1,04/08/2024,3
IM-24-096-OQJI,IM-24-096-02,1,1,05/06/2024,3
IM-24-110-KHLH,IM-24-110-01,1,1,04/05/2024,3
IM-24-110-SOMZ,IM-24-110-02,1,1,05/02/2024,3
IM-24-112-MNRC,IM-24-112-01,1,1,04/05/2024,3
IM-24-112-PRQB,IM-24-112-02,1,1,04/08/2024,3
IM-24-115-DMOJ,IM-24-115-01,1,1,05/02/2024,3
IM-24-115-MDNH,IM-24-115-02,1,1,05/07/2024,3
IM-24-120-CQCX,IM-24-120-01,1,1,06/10/2024,3
IM-24-121-BLFU,IM-24-121-01,1,1,05/07/2024,3
IM-22-017-BVAS,IM-23-017-02,2,1,1/15/2023,1
IM-23-011-LBJY,IM-23-011-03,2,1,10/25/2023,2
IM-23-011-NNHM,IM-23-011-02,2,1,2/25/2023,1
IM-23-011-ONOZ,IM-23-011-04,2,1,10/25/2023,2
IM-23-011-QBDI,IM-23-011-01,2,1,02/10/2023,1
IM-23-015-AUAJ,IM-23-015-01,2,1,1/24/2023,1
IM-23-015-RFVH,IM-23-015-02,2,1,1/21/2023,1
IM-23-016-HRSD,IM-23-016-04,2,1,10/23/2023,2
IM-23-016-JPTL,IM-23-016-03,2,1,10/23/2023,2
IM-23-016-OHII,IM-23-016-02,2,1,3/23/2023,1
IM-23-016-WNKD,IM-23-016-01,2,1,07/02/2023,1
IM-23-017-AXVK,IM-23-017-03,2,1,8/31/2023,2
IM-23-017-PNOT,IM-23-017-04,2,1,10/23/2023,2
IM-23-017-RUNO,IM-23-017-01,2,1,2/14/2023,1
IM-23-019-BYKI,IM-23-019-03,2,1,09/05/2023,2
IM-23-019-FPRQ,IM-23-019-02,2,1,04/05/2023,1
IM-23-019-LXMX,IM-23-019-01,2,1,2/14/2023,1
IM-23-019-WRMD,IM-23-019-04,2,1,10/23/2023,2
IM-23-030-GIUC,IM-23-030-03,2,1,09/05/2023,2
IM-23-030-VLQU,IM-23-030-01,2,1,2/25/2023,1
IM-23-030-VMBW,IM-23-030-04,2,1,9/19/2023,2
IM-23-034-AQNF,IM-23-034-03,2,1,8/31/2023,2
IM-23-034-BYCB,IM-23-034-04,2,1,9/18/2023,2
IM-23-034-HXMF,IM-23-034-02,2,1,03/03/2023,1
IM-23-034-ZYLW,IM-23-034-01,2,1,2/14/2023,1
IM-23-035-NQJH,IM-23-035-01,2,1,2/22/2023,1
IM-23-035-WTZD,IM-23-035-02,2,1,3/15/2023,1
IM-23-036-APIZ,IM-23-036-04,2,1,10/02/2023,2
IM-23-036-NIQS,IM-23-036-03,2,1,8/30/2023,2
IM-23-036-PYLO,IM-23-036-01,2,1,03/07/2023,1
IM-23-036-VOUR,IM-23-036-02,2,1,03/03/2023,1
IM-23-040-RATC,IM-23-040-03,2,1,9/18/2023,2
IM-23-040-UXZS,IM-23-040-04,2,1,9/18/2023,2
IM-23-041-LAXF,IM-23-041-04,2,1,10/17/2023,2
IM-23-041-NQPJ,IM-23-041-01,2,1,2/28/2023,1
IM-23-041-PRCN,IM-23-041-03,2,1,10/17/2023,2
IM-23-041-XSCG,IM-23-041-02,2,1,3/14/2023,1
IM-23-042-QYDO,IM-23-042-04,2,1,11/06/2023,2
IM-23-042-TOVW,IM-23-042-01,2,1,03/03/2023,1
IM-23-042-TPVR,IM-23-042-03,2,1,11/06/2023,2
IM-23-042-VRLB,IM-23-042-02,2,1,3/14/2023,1
IM-23-044-JWIP,IM-23-044-01,2,1,2/28/2023,1
IM-23-044-TAQO,IM-23-044-03,2,1,10/10/2023,2
IM-23-044-ZABB,IM-23-044-04,2,1,10/10/2023,2
IM-23-044-ZIRV,IM-23-044-02,2,1,04/05/2023,1
IM-23-045-AFUB,IM-23-045-04,2,1,10/11/2023,2
IM-23-045-IJRW,IM-23-045-03,2,1,10/10/2023,2
IM-23-045-RPPO,IM-23-045-02,2,1,03/02/2023,1
IM-23-045-ZCSL,IM-23-045-01,2,1,03/02/2023,1
IM-23-046-CFZD,IM-23-046-02,2,1,03/02/2023,1
IM-23-046-JKOA,IM-23-046-03,2,1,9/29/2023,2
IM-23-046-QCXJ,IM-23-046-01,2,1,03/02/2023,1
IM-23-046-UZTM,IM-23-046-04,2,1,10/02/2023,2
IM-23-047-HAIX,IM-23-047-03,2,1,8/25/2023,2
IM-23-047-UDBL,IM-23-047-04,2,1,8/25/2023,2
IM-23-054-JTIY,IM-23-054-01,2,1,08/02/2023,1
IM-23-054-UICG,IM-23-054-02,2,1,2/27/2023,1
IM-23-054-WKJG,IM-23-054-03,2,1,10/02/2023,2
IM-23-054-XVIL,IM-23-054-04,2,1,10/02/2023,2
IM-23-056-FPTZ,IM-23-056-03,2,1,8/31/2023,2
IM-23-056-GABF,IM-23-056-01,2,1,09/02/2023,1
IM-23-056-WUPO,IM-23-056-04,2,1,11/08/2023,2
IM-23-060-TFSC,IM-23-060-04,2,1,09/05/2023,2
IM-23-060-YGZB,IM-23-060-03,2,1,8/29/2023,2
IM-23-060-YPZI,IM-23-060-01,2,1,04/05/2023,1
IM-23-063-BQZP,IM-23-063-04,2,1,11/10/2023,2
IM-23-063-DYUL,IM-23-063-03,2,1,11/10/2023,2
IM-23-063-RLRQ,IM-23-063-01,2,1,03/06/2023,1
IM-23-063-VOWJ,IM-23-063-02,2,1,03/06/2023,1
IM-23-064-FHSF,IM-23-064-04,2,1,09/11/2023,2
IM-23-064-IVIH,IM-23-064-01,2,1,03/01/2023,1
IM-23-064-UFCI,IM-23-064-03,2,1,09/11/2023,2
IM-23-071-AUUU,IM-23-071-03,2,1,11/08/2023,2
IM-23-071-GIMT,IM-23-071-04,2,1,11/08/2023,2
IM-23-089-BRLH,IM-23-089-01,2,1,1/21/2023,1
IM-23-089-FIFW,IM-23-089-04,2,1,10/16/2023,2
IM-23-089-HFSI,IM-23-089-02,2,2,1/23/2023,1
IM-23-089-PSJW,IM-23-089-03,2,1,8/28/2023,2
IM-23-090-AIMJ,IM-23-090-04,2,1,8/29/2023,2
IM-23-090-TNDW,IM-23-090-01,2,1,1/17/2023,1
IM-23-090-WSAO,IM-23-090-03,2,1,,2
IM-23-090-XAMB,IM-23-090-02,2,1,09/02/2023,1
IM-23-093-ONLF,IM-23-093-01,2,1,1/18/2023,1
IM-23-093-ONLM,IM-23-093-02,2,2,1/30/2023,1
IM-23-096-GRHG,IM-23-096-03,2,1,10/16/2023,2
IM-23-096-PDOY,IM-23-096-02,2,1,1/26/2023,1
IM-23-096-RNQW,IM-23-096-04,2,1,10/16/2023,2
IM-23-096-TNLH,IM-23-096-01,2,1,1/19/2023,1
IM-23-110-HYLM,IM-23-110-03,2,1,8/28/2023,2
IM-23-110-TKVV,IM-23-110-01,2,1,1/27/2023,1
IM-23-110-UYVH,IM-23-110-04,2,1,8/28/2023,2
IM-23-112-OBCQ,IM-23-112-04,2,1,9/18/2023,2
IM-23-112-ZJOD,IM-23-112-03,2,1,8/31/2023,2
IM-23-115-DVDJ,IM-23-115-01,2,1,03/03/2023,1
IM-23-115-IAOU,IM-23-115-03,2,1,09/04/2023,2
IM-23-115-NYUN,IM-23-115-04,2,1,09/04/2023,2
IM-23-115-YBBF,IM-23-115-02,2,1,2/22/2023,1
IM-23-120-IBNC,IM-23-120-02,2,1,12/14/2023,1
IM-23-120-YMIM,IM-23-120-01,2,1,2/22/2023,1
IM-23-121-KFZC,IM-23-121-01,2,1,2/23/2023,1
IM-23-121-VXCP,IM-23-121-02,2,1,10/24/2023,1
IM-23-122-BBQQ,IM-23-122-01,2,1,10/02/2023,1
IM-23-122-VYRP,IM-24-122-01,2,1,2/26/2024,3
IM-23-123-BGBX,IM-23-123-02,2,1,09/02/2023,1
IM-23-123-OOYD,IM-23-123-01,2,1,1/19/2023,1
IM-24-011-KTFH,IM-24-011-02,2,1,05/03/2024,3
IM-24-011-TWAS,IM-24-011-01,2,1,05/03/2024,3
IM-24-016-CCAL,IM-24-016-01,2,1,3/13/2024,3
IM-24-016-KOZF,IM-24-016-02,2,1,05/07/2024,3
IM-24-017-BSZJ,IM-24-017-01,2,1,05/07/2024,3
IM-24-019-LVDJ,IM-24-019-02,2,1,05/02/2024,3
IM-24-019-NKIH,IM-24-019-01,2,1,04/09/2024,3
IM-24-030-HKNS,IM-24-030-01,2,1,05/02/2024,3
IM-24-030-SFIT,IM-24-030-02,2,1,05/06/2024,3
IM-24-034-HKXL,IM-24-034-02,2,1,05/07/2024,3
IM-24-034-LZLZ,IM-24-034-01,2,1,04/08/2024,3
IM-24-036-DBDS,IM-24-036-01,2,1,04/08/2024,3
IM-24-036-NAQW,IM-24-036-02,2,1,05/02/2024,3
IM-24-040-GGHB,IM-24-040-01,2,1,5/29/2024,3
IM-24-040-ODRO,IM-24-040-02,2,1,5/29/2024,3
IM-24-041-BCPB,IM-24-041-02,2,1,4/30/2024,3
IM-24-041-WVBU,IM-24-041-01,2,1,4/30/2024,3
IM-24-042-FJZP,IM-24-042-02,2,1,4/29/2024,3
IM-24-042-TKFF,IM-24-042-01,2,1,4/29/2024,3
IM-24-044-AIMC,IM-24-044-01,2,1,05/06/2024,3
IM-24-045-DLOD,IM-24-045-01,2,1,05/06/2024,3
IM-24-045-LIYQ,IM-24-045-02,2,1,05/06/2024,3
IM-24-046-IHNR,IM-24-046-01,2,1,05/02/2024,3
IM-24-046-QCBG,IM-24-046-02,2,1,5/30/2024,3
IM-24-047-BFVI,IM-24-047-01,2,1,04/08/2024,3
IM-24-054-AFGX,IM-24-054-02,2,1,05/06/2024,3
IM-24-054-NLSP,IM-24-054-01,2,1,04/09/2024,3
IM-24-056-ACFK,IM-24-056-01,2,1,04/09/2024,3
IM-24-060-BBVW,IM-24-060-01,2,1,04/05/2024,3
IM-24-064-BZWQ,IM-24-064-01,2,1,04/09/2024,3
IM-24-071-COQD,IM-24-071-01,2,1,05/07/2024,3
IM-24-071-MRBY,IM-24-071-02,2,1,6/14/2024,3
IM-24-087-BAHO,IM-24-087-01,2,1,04/09/2024,3
IM-24-087-ULAF,IM-24-087-02,2,1,04/09/2024,3
IM-24-089-CDPM,IM-24-089-01,2,1,3/13/2024,3
IM-24-089-PXFD,IM-24-089-02,2,1,3/13/2024,3
IM-24-090-DTZB,IM-24-090-01,2,1,3/13/2024,3
IM-24-090-NVMR,IM-24-090-02,2,1,04/08/2024,3
IM-24-096-BGTL,IM-24-096-01,2,1,04/08/2024,3
IM-24-096-MHSH,IM-24-096-02,2,1,05/06/2024,3
IM-24-110-JYOY,IM-24-110-01,2,1,04/05/2024,3
IM-24-110-TPDW,IM-24-110-02,2,1,05/02/2024,3
IM-24-112-MMWX,IM-24-112-01,2,1,04/05/2024,3
IM-24-112-PTCG,IM-24-112-02,2,1,04/08/2024,3
IM-24-115-DLTP,IM-24-115-01,2,1,05/02/2024,3
IM-24-115-LRMJ,IM-24-115-02,2,1,05/07/2024,3
IM-24-120-COPY,IM-24-120-01,2,1,06/10/2024,3
IM-24-121-ARBX,IM-24-121-01,2,1,05/07/2024,3
IM-23-011-CPBF,IM-23-011-01,3,1,02/10/2023,1
IM-23-011-JCRA,IM-23-011-02,3,1,2/25/2023,1
IM-23-011-JDOL,IM-23-011-04,3,1,10/25/2023,2
IM-23-011-JSUK,IM-23-011-03,3,1,10/25/2023,2
IM-23-015-TTOW,IM-23-015-02,3,1,1/21/2023,1
IM-23-015-YWKO,IM-23-015-01,3,1,1/24/2023,1
IM-23-016-AXTA,IM-23-016-04,3,1,10/23/2023,2
IM-23-016-DDQH,IM-23-016-03,3,1,10/23/2023,2
IM-23-016-KYJR,IM-23-016-01,3,1,07/02/2023,1
IM-23-016-ZDCI,IM-23-016-02,3,1,3/23/2023,1
IM-23-017-FAWQ,IM-23-017-02,3,1,2/20/2023,1
IM-23-017-JOAA,IM-23-017-03,3,1,8/31/2023,2
IM-23-017-MZIS,IM-23-017-01,3,1,2/14/2023,1
IM-23-017-WHMB,IM-23-017-04,3,1,10/23/2023,2
IM-23-019-BSQH,IM-23-019-04,3,1,10/23/2023,2
IM-23-019-DDQO,IM-23-019-01,3,1,2/14/2023,1
IM-23-019-XYAF,IM-23-019-02,3,1,04/05/2023,1
IM-23-019-YSAP,IM-23-019-03,3,1,09/05/2023,2
IM-23-030-AZJR,IM-23-030-03,3,1,09/05/2023,2
IM-23-030-UGGC,IM-23-030-04,3,1,9/19/2023,2
IM-23-030-UOSU,IM-23-030-01,3,1,2/25/2023,1
IM-23-034-JAJW,IM-23-034-01,3,1,2/14/2023,1
IM-23-034-JKZT,IM-23-034-02,3,1,03/03/2023,1
IM-23-034-LMPB,IM-23-034-04,3,1,9/18/2023,2
IM-23-034-OZOC,IM-23-034-03,3,1,8/31/2023,2
IM-23-035-ITBC,IM-23-035-02,3,1,3/15/2023,1
IM-23-035-VUGQ,IM-23-035-01,3,1,2/22/2023,1
IM-23-036-DPBB,IM-23-036-04,3,1,10/02/2023,2
IM-23-036-ICTA,IM-23-036-03,3,1,8/30/2023,2
IM-23-036-JYCD,IM-23-036-01,3,1,03/07/2023,1
IM-23-036-NLFF,IM-23-036-02,3,1,03/03/2023,1
IM-23-040-SAXA,IM-23-040-03,3,1,9/18/2023,2
IM-23-040-YFJM,IM-23-040-04,3,1,9/18/2023,2
IM-23-041-FVOH,IM-23-041-01,3,1,2/28/2023,1
IM-23-041-TQLZ,IM-23-041-03,3,1,10/17/2023,2
IM-23-041-TSIN,IM-23-041-04,3,1,10/17/2023,2
IM-23-041-UIHP,IM-23-041-02,3,1,3/14/2023,1
IM-23-042-DBAP,IM-23-042-04,3,1,11/06/2023,2
IM-23-042-GFWX,IM-23-042-01,3,1,03/03/2023,1
IM-23-042-QXCB,IM-23-042-02,3,1,3/14/2023,1
IM-23-042-YXUD,IM-23-042-03,3,1,11/06/2023,2
IM-23-044-AVJQ,IM-23-044-04,3,1,10/10/2023,2
IM-23-044-FCMM,IM-23-044-03,3,1,10/10/2023,2
IM-23-044-QUKQ,IM-23-044-01,3,1,2/28/2023,1
IM-23-044-YZOQ,IM-23-044-02,3,1,04/05/2023,1
IM-23-045-CFNN,IM-23-045-04,3,1,10/11/2023,2
IM-23-045-DJWA,IM-23-045-02,3,1,03/02/2023,1
IM-23-045-NBJW,IM-23-045-01,3,1,03/02/2023,1
IM-23-045-SJGF,IM-23-045-03,3,1,10/10/2023,2
IM-23-046-BDCB,IM-23-046-04,3,1,10/02/2023,2
IM-23-046-CSXB,IM-23-046-03,3,1,9/29/2023,2
IM-23-046-OSHI,IM-23-046-01,3,1,03/02/2023,1
IM-23-046-WOJA,IM-23-046-02,3,1,03/02/2023,1
IM-23-047-BFKZ,IM-23-047-04,3,1,8/25/2023,2
IM-23-047-CYZC,IM-23-047-03,3,1,8/25/2023,2
IM-23-054-BVUG,IM-23-054-01,3,1,08/02/2023,1
IM-23-054-DQIL,IM-23-054-03,3,1,10/02/2023,2
IM-23-054-NZGU,IM-23-054-02,3,1,2/27/2023,1
IM-23-054-OGIM,IM-23-054-04,3,1,10/02/2023,2
IM-23-056-HNMC,IM-23-056-03,3,1,8/31/2023,2
IM-23-056-HRAR,IM-23-056-04,3,1,11/08/2023,2
IM-23-056-PFUX,IM-23-056-01,3,1,09/02/2023,1
IM-23-060-XFCA,IM-23-060-01,3,1,04/05/2023,1
IM-23-060-XZFD,IM-23-060-03,3,1,8/29/2023,2
IM-23-060-YBDS,IM-23-060-04,3,1,09/05/2023,2
IM-23-063-DHAQ,IM-23-063-04,3,1,11/10/2023,2
IM-23-063-FLIS,IM-23-063-03,3,1,11/10/2023,2
IM-23-063-MLKB,IM-23-063-02,3,1,03/06/2023,1
IM-23-063-QLMC,IM-23-063-01,3,1,03/06/2023,1
IM-23-064-AMZY,IM-23-064-04,3,1,09/11/2023,2
IM-23-064-QFCL,IM-23-064-03,3,1,09/11/2023,2
IM-23-064-VKTB,IM-23-064-01,3,1,03/01/2023,1
IM-23-071-FVDY,IM-23-071-04,3,1,11/08/2023,2
IM-23-071-FYAT,IM-23-071-03,3,1,11/08/2023,2
IM-23-089-CNXB,IM-23-089-04,3,1,10/16/2023,2
IM-23-089-LMFA,IM-23-089-01,3,1,1/21/2023,1
IM-23-089-UUXB,IM-23-089-03,3,1,8/28/2023,2
IM-23-089-YYBS,IM-23-089-02,3,2,1/23/2023,1
IM-23-090-DACX,IM-23-090-04,3,1,8/29/2023,2
IM-23-090-MZCN,IM-23-090-02,3,1,09/02/2023,1
IM-23-090-VQZX,IM-23-090-01,3,1,1/17/2023,1
IM-23-090-ZDKS,IM-23-090-03,3,1,,2
IM-23-093-KZOU,IM-23-093-01,3,1,1/18/2023,1
IM-23-093-XAYR,IM-23-093-02,3,2,1/30/2023,1
IM-23-096-GVRS,IM-23-096-04,3,1,10/16/2023,2
IM-23-096-IQUF,IM-23-096-01,3,1,1/19/2023,1
IM-23-096-MGYY,IM-23-096-03,3,1,10/16/2023,2
IM-23-096-ZGDA,IM-23-096-02,3,1,1/26/2023,1
IM-23-110-CGMS,IM-23-110-01,3,1,1/27/2023,1
IM-23-110-ELIZ,IM-23-110-03,3,1,8/28/2023,2
IM-23-110-PTWI,IM-23-110-04,3,1,8/28/2023,2
IM-23-112-MLIK,IM-23-112-04,3,1,9/18/2023,2
IM-23-112-NCLW,IM-23-112-03,3,1,8/31/2023,2
IM-23-115-DFPS,IM-23-115-03,3,1,09/04/2023,2
IM-23-115-DJWD,IM-23-115-04,3,1,09/04/2023,2
IM-23-115-WUQG,IM-23-115-02,3,1,2/22/2023,1
IM-23-115-ZHOM,IM-23-115-01,3,1,03/03/2023,1
IM-23-120-JPRR,IM-23-120-02,3,1,12/14/2023,1
IM-23-120-VOCY,IM-23-120-01,3,1,2/22/2023,1
IM-23-121-BVBS,IM-23-121-01,3,1,2/23/2023,1
IM-23-121-QOCW,IM-23-121-02,3,1,10/24/2023,1
IM-23-122-KGAH,IM-24-122-01,3,1,2/26/2024,3
IM-23-122-RWTH,IM-23-122-01,3,1,10/02/2023,1
